callback_ms,sensor_to_cmd_ms
5.1087040001220885,89.398304
1.866399999926216,85.717472
1.9376000000193017,85.325567
2.0514239995463868,87.63241500000001
2.143199999409262,85.281248
1.7732480000631767,85.097599
1.7240319994016318,85.012255
1.815327999793226,85.587839
1.9809599998552585,85.423104
1.7134719992100145,85.271488
2.2559680000995286,85.938495
1.916512000207149,85.29465499999999
1.757791999807523,85.030688
1.8310079994989792,84.97968
1.9426559993007686,85.325824
1.7782720005925512,84.916191
1.794527999663842,85.060832
1.9400640003368608,85.305279
1.7858239998531644,85.226368
2.073952000500867,85.297312
3.0117120004433673,87.465504
2.926944000137155,87.735072
2.966752000247652,87.223679
3.012415999364748,87.650144
2.932544000032067,87.359424
3.0064959992159856,87.34473600000001
2.8203839992784197,87.264831
2.885408000111056,87.304351
2.871967999453773,87.349151
3.002688000378839,87.731455
2.846175999366096,87.371616
2.9447679999066168,87.51168
2.9314560006241663,87.66876699999999
2.860384000086924,87.61427099999999
2.9248320006445283,87.479295
2.9597120001199073,87.191807
2.8225919995747972,87.488767
2.91324799945869,87.3128
1.9452800006547477,86.48153599999999
2.8411839994078036,87.535935
3.288000000793545,87.562335
2.8346239996608347,87.538272
2.7499839998199604,87.233984
2.823583999997936,87.44473599999999
2.828224000040791,87.447328
2.8997760000493145,87.606912
3.066272000069148,87.566399
2.7829759992528125,87.431135
2.832640000633546,87.571232
2.9177600008551963,87.106239
2.843360000042594,87.29967900000001
2.7770560000135447,87.36752
2.361536000535125,86.782336
2.957663999950455,87.553855
2.9385280004134984,87.39872
2.3801920006008004,86.749695
2.9516479999074363,87.371456
2.6506879994485644,87.267391
2.88176000049134,87.508576
3.1522240005870117,88.009248
2.8567680001287954,87.539743
2.867936000257032,87.64108800000001
2.883103999920422,87.390144
2.816128000631579,87.561919
2.893536000556196,86.91558400000001
2.8359360003378242,87.334335
2.8119999997215928,87.50255999999999
2.394592000200646,86.227103
2.969407999444229,87.58832
2.843872000084957,87.3688
1.83759999981703,86.302272
2.8529920000437414,87.344768
2.7306880001560785,87.524992
1.7737600001055398,85.96211199999999
2.84236800052895,87.53328
2.9508159996112227,87.59103999999999
1.9785599997703684,86.379104
2.778208000563609,87.437247
2.8200320002724766,87.67657600000001
2.280352000525454,87.00137500000001
3.2407359994977014,87.977536
2.9190719997131964,87.42348799999999
1.8576000002212822,86.413503
2.8363519995764364,87.30076700000001
1.72896000003675,86.34531199999999
2.9216319999250118,87.35353599999999
2.8920319991811994,87.424288
2.8152320001026965,87.174559
2.8633599995373515,87.312607
2.862176000235195,87.455584
2.789952000057383,87.21811100000001
2.8748479999194387,87.390239
2.8650879994529532,87.423616
2.837312000337988,87.461215
2.9307839995453833,87.677183
2.108671999849321,87.74144
2.9131520004739286,87.401631
2.901279999605322,87.46841599999999
3.0486719997497858,87.14454400000001
2.9403199996522744,87.485887
2.993664000314311,87.63747099999999
3.1345279994638986,87.674559
2.8928000001542387,87.553152
2.8317119995335815,87.356095
2.8980799997953,87.70832
2.860255999621586,87.322239
2.950015999886091,87.521536
2.969375999782642,87.56339200000001
2.303008000126283,86.819935
2.897119999943243,87.379136
3.1603519992131623,87.824415
2.8563519999806886,87.727967
2.477727999576018,86.30351999999999
3.0216639997888706,87.605856
2.916927999649488,87.5576
2.912736000325822,87.33951900000001
3.04796799991891,87.493055
2.9216640004960936,87.41811200000001
3.024352000466024,87.750016
2.9088319997754297,87.46649500000001
2.875520000088727,87.226015
2.9044479997537564,87.44351999999999
2.801216000079876,87.14031899999999
2.806847999636375,87.54832
2.7854399995703716,87.123359
3.0231360005927854,87.538527
1.820192000195675,85.766047
2.5334719994134502,86.75276699999999
3.0022719993212377,87.36675100000001
2.8436479997253628,87.329152
2.96044799961237,87.562623
2.8794239997296245,87.499231
