epoch,cnn_goal,cnn_reward,cnn_col,sac_goal,sac_reward,sac_col
1,0.0,-55.13207244873047,0.30000001192092896,0.10000000149011612,-59.91918182373047,0.20000000298023224
2,0.10000000149011612,-65.47225952148438,0.10000000149011612,0.0,-104.43692016601562,0.800000011920929
3,0.0,-10.70734977722168,0.10000000149011612,0.10000000149011612,-13.42885971069336,0.5
4,0.20000000298023224,25.280431747436523,0.20000000298023224,0.10000000149011612,36.9258918762207,0.10000000149011612
5,0.20000000298023224,11.498564720153809,0.20000000298023224,0.20000000298023224,0.8826910257339478,0.20000000298023224
6,0.6000000238418579,47.719810485839844,0.10000000149011612,0.4000000059604645,44.64106750488281,0.10000000149011612
7,0.20000000298023224,1.432212471961975,0.30000001192092896,0.5,41.87994384765625,0.10000000149011612
8,0.30000001192092896,-5.562604904174805,0.30000001192092896,0.6000000238418579,70.46992492675781,0.10000000149011612
9,0.20000000298023224,61.540184020996094,0.0,0.5,53.39535903930664,0.20000000298023224
10,0.30000001192092896,8.280182838439941,0.10000000149011612,0.6000000238418579,52.07483673095703,0.20000000298023224
11,0.8999999761581421,103.44408416748047,0.0,0.699999988079071,92.42000579833984,0.0
12,0.6000000238418579,74.40323638916016,0.0,0.800000011920929,83.6810531616211,0.0
13,0.5,46.455406188964844,0.20000000298023224,0.800000011920929,61.4955940246582,0.20000000298023224
14,0.6000000238418579,30.330034255981445,0.20000000298023224,0.30000001192092896,-35.496238708496094,0.4000000059604645
15,0.800000011920929,80.7752456665039,0.0,0.6000000238418579,36.649085998535156,0.20000000298023224
16,0.699999988079071,26.133930206298828,0.20000000298023224,0.4000000059604645,21.529762268066406,0.10000000149011612
17,0.800000011920929,63.6942024230957,0.10000000149011612,0.800000011920929,62.401397705078125,0.20000000298023224
18,1.0,98.46942138671875,0.0,0.800000011920929,55.03446578979492,0.20000000298023224
19,1.0,99.38652038574219,0.0,0.8999999761581421,71.5722427368164,0.10000000149011612
20,0.8999999761581421,64.65072631835938,0.0,0.8999999761581421,73.52737426757812,0.10000000149011612
21,0.8999999761581421,76.99671936035156,0.10000000149011612,0.800000011920929,59.73134231567383,0.20000000298023224
22,0.800000011920929,60.97341537475586,0.20000000298023224,0.8999999761581421,83.28776550292969,0.0
23,0.8999999761581421,81.12265014648438,0.10000000149011612,0.800000011920929,65.10765838623047,0.10000000149011612
24,1.0,98.60476684570312,0.0,0.8999999761581421,86.19686889648438,0.10000000149011612
25,1.0,96.99867248535156,0.0,0.8999999761581421,81.68440246582031,0.10000000149011612
26,0.800000011920929,61.665557861328125,0.20000000298023224,1.0,102.97888946533203,0.0
27,0.800000011920929,54.37581253051758,0.10000000149011612,0.8999999761581421,81.68233489990234,0.10000000149011612
28,0.800000011920929,67.32118225097656,0.10000000149011612,1.0,103.3812026977539,0.0
29,0.8999999761581421,80.14315795898438,0.10000000149011612,0.8999999761581421,79.78597259521484,0.10000000149011612
30,1.0,103.76221466064453,0.0,0.8999999761581421,81.62933349609375,0.10000000149011612
31,0.8999999761581421,78.1669921875,0.10000000149011612,0.8999999761581421,81.61492156982422,0.10000000149011612
32,0.8999999761581421,73.53907012939453,0.10000000149011612,0.8999999761581421,79.6424789428711,0.10000000149011612
33,0.8999999761581421,74.08268737792969,0.10000000149011612,0.800000011920929,61.83340072631836,0.20000000298023224
34,0.800000011920929,61.37777328491211,0.20000000298023224,0.8999999761581421,78.13052368164062,0.10000000149011612
35,0.800000011920929,39.75429153442383,0.10000000149011612,0.8999999761581421,70.13291931152344,0.10000000149011612
36,1.0,97.10407257080078,0.0,0.800000011920929,63.242408752441406,0.20000000298023224
37,0.699999988079071,19.884838104248047,0.20000000298023224,0.699999988079071,17.138614654541016,0.20000000298023224
38,0.8999999761581421,68.59201049804688,0.10000000149011612,0.8999999761581421,73.56987762451172,0.10000000149011612
39,0.800000011920929,54.86061096191406,0.20000000298023224,0.8999999761581421,77.61785888671875,0.10000000149011612
40,0.800000011920929,61.56840133666992,0.20000000298023224,0.800000011920929,62.3477783203125,0.20000000298023224
41,1.0,104.3023452758789,0.0,0.8999999761581421,84.04813385009766,0.10000000149011612
42,0.8999999761581421,73.05396270751953,0.10000000149011612,0.8999999761581421,75.1291275024414,0.10000000149011612
43,0.800000011920929,59.113285064697266,0.20000000298023224,0.8999999761581421,82.33341979980469,0.10000000149011612
44,0.8999999761581421,78.41297149658203,0.0,1.0,99.09833526611328,0.0
45,0.8999999761581421,78.08617401123047,0.10000000149011612,1.0,101.87323760986328,0.0
46,1.0,98.99927520751953,0.0,0.8999999761581421,85.18848419189453,0.10000000149011612
47,1.0,103.6835708618164,0.0,0.800000011920929,35.214149475097656,0.10000000149011612
48,0.8999999761581421,85.37452697753906,0.10000000149011612,0.8999999761581421,83.1955795288086,0.10000000149011612
49,1.0,104.06841278076172,0.0,0.8999999761581421,78.7645263671875,0.10000000149011612
50,1.0,99.10104370117188,0.0,1.0,103.325927734375,0.0
51,1.0,104.86775207519531,0.0,0.8999999761581421,73.53582763671875,0.0
52,0.8999999761581421,84.08736419677734,0.10000000149011612,1.0,102.10620880126953,0.0
53,1.0,102.96620178222656,0.0,0.8999999761581421,78.55491638183594,0.10000000149011612
54,0.8999999761581421,82.33047485351562,0.10000000149011612,0.8999999761581421,83.67415618896484,0.10000000149011612
55,1.0,103.98031616210938,0.0,0.8999999761581421,63.68099594116211,0.0
56,0.8999999761581421,86.61339569091797,0.10000000149011612,0.8999999761581421,79.88845825195312,0.10000000149011612
57,0.800000011920929,59.23460388183594,0.20000000298023224,1.0,97.69576263427734,0.0
58,0.8999999761581421,77.12815856933594,0.10000000149011612,1.0,99.87140655517578,0.0
59,1.0,92.45301818847656,0.0,0.8999999761581421,66.46942901611328,0.0
60,1.0,98.57294464111328,0.0,0.8999999761581421,84.83800506591797,0.0
